PASS 1: route / theme=dark 1280x800 (0 errors, 373ch)
PASS 2: route / theme=light 1280x800 (0 errors, 404ch)
PASS 3: route / theme=dark 390x844 (0 errors, 401ch)
PASS 4: route /app theme=dark 1280x800 (0 errors, 1111ch)
PASS 5: route /app theme=light 1280x800 (0 errors, 1111ch)
PASS 6: route /app theme=dark 390x844 (0 errors, 1111ch)
PASS 7: route /app/player?state=focus theme=dark 1280x800 (0 errors, 281ch)
PASS 8: route /app/player?state=focus theme=light 1280x800 (0 errors, 281ch)
PASS 9: route /app/player?state=focus theme=dark 390x844 (0 errors, 281ch)
PASS 10: route /app/player?state=flow theme=dark 1280x800 (0 errors, 289ch)
PASS 11: route /app/player?state=flow theme=light 1280x800 (0 errors, 289ch)
PASS 12: route /app/player?state=flow theme=dark 390x844 (0 errors, 289ch)
PASS 13: route /app/player?state=calm theme=dark 1280x800 (0 errors, 276ch)
PASS 14: route /app/player?state=calm theme=light 1280x800 (0 errors, 276ch)
PASS 15: route /app/player?state=calm theme=dark 390x844 (0 errors, 276ch)
PASS 16: route /app/player?state=winddown theme=dark 1280x800 (0 errors, 287ch)
PASS 17: route /app/player?state=winddown theme=light 1280x800 (0 errors, 287ch)
PASS 18: route /app/player?state=winddown theme=dark 390x844 (0 errors, 287ch)
PASS 19: route /app/player?state=sleep theme=dark 1280x800 (0 errors, 285ch)
PASS 20: route /app/player?state=sleep theme=light 1280x800 (0 errors, 285ch)
PASS 21: route /app/player?state=sleep theme=dark 390x844 (0 errors, 285ch)
PASS 22: route /app/explore theme=dark 1280x800 (0 errors, 886ch)
PASS 23: route /app/explore theme=light 1280x800 (0 errors, 886ch)
PASS 24: route /app/explore theme=dark 390x844 (0 errors, 886ch)
PASS 25: route /app/progress theme=dark 1280x800 (0 errors, 398ch)
PASS 26: route /app/progress theme=light 1280x800 (0 errors, 398ch)
PASS 27: route /app/progress theme=dark 390x844 (0 errors, 398ch)
PASS 28: route /app/profile theme=dark 1280x800 (0 errors, 609ch)
PASS 29: route /app/profile theme=light 1280x800 (0 errors, 609ch)
PASS 30: route /app/profile theme=dark 390x844 (0 errors, 609ch)
PASS 31: route /privacy theme=dark 1280x800 (0 errors, 1567ch)
PASS 32: route /privacy theme=light 1280x800 (0 errors, 1567ch)
PASS 33: route /privacy theme=dark 390x844 (0 errors, 1567ch)
PASS 34: route /terms theme=dark 1280x800 (0 errors, 1466ch)
PASS 35: route /terms theme=light 1280x800 (0 errors, 1466ch)
PASS 36: route /terms theme=dark 390x844 (0 errors, 1466ch)
PASS 37: route /contact theme=dark 1280x800 (0 errors, 216ch)
PASS 38: route /contact theme=light 1280x800 (0 errors, 216ch)
PASS 39: route /contact theme=dark 390x844 (0 errors, 216ch)
PASS 40: route /science theme=dark 1280x800 (0 errors, 265ch)
PASS 41: route /science theme=light 1280x800 (0 errors, 265ch)
PASS 42: route /science theme=dark 390x844 (0 errors, 265ch)
PASS 43: route /onboarding/welcome theme=dark 1280x800 (0 errors, 177ch)
PASS 44: route /onboarding/welcome theme=light 1280x800 (0 errors, 177ch)
PASS 45: route /onboarding/welcome theme=dark 390x844 (0 errors, 177ch)
PASS 46: route /onboarding/auth theme=dark 1280x800 (0 errors, 273ch)
PASS 47: route /onboarding/auth theme=light 1280x800 (0 errors, 273ch)
PASS 48: route /onboarding/auth theme=dark 390x844 (0 errors, 273ch)
PASS 49: route /onboarding/goal theme=dark 1280x800 (0 errors, 310ch)
PASS 50: route /onboarding/goal theme=light 1280x800 (0 errors, 310ch)
PASS 51: route /onboarding/goal theme=dark 390x844 (0 errors, 310ch)
PASS 52: route /onboarding/when theme=dark 1280x800 (0 errors, 116ch)
PASS 53: route /onboarding/when theme=light 1280x800 (0 errors, 116ch)
PASS 54: route /onboarding/when theme=dark 390x844 (0 errors, 116ch)
PASS 55: route /onboarding/ready theme=dark 1280x800 (0 errors, 180ch)
PASS 56: route /onboarding/ready theme=light 1280x800 (0 errors, 180ch)
PASS 57: route /onboarding/ready theme=dark 390x844 (0 errors, 180ch)
TOTAL P=57 F=0
